district_name,pH
Agra,7.8
Aligarh,7.7
Allahabad,7.6
Ambedkar Nagar,7.6
Amethi,7.7
Amroha,8.1
Auraiya,7.9
Azamgarh,7.9
Baghpat,7.5
Bahraich,8.1
Ballia,8.0
Balrampur,8.2
Banda,7.5
Barabanki,7.7
Bareilly,7.9
Basti,8.1
Bijnor,7.7
Budaun,7.4
Bulandshahr,7.8
Chandauli,7.4
Chitrakoot,8.0
Deoria,7.5
Etah,7.7
Etawah,7.8
Faizabad,7.6
Farrukhabad,7.5
Fatehpur,7.8
Firozabad,7.8
Gautam Buddha Nagar,7.6
Ghaziabad,7.8
Ghazipur,7.4
Gonda,7.9
Gorakhpur,7.5
Hamirpur,7.9
Hapur,8.2
Hardoi,8.0
Hathras,8.0
Jalaun,7.7
Jaunpur,8.0
Jhansi,7.9
Kannauj,8.1
Kanpur Dehat,7.9
Kanpur Nagar,7.6
Kasganj,7.6
Kaushambi,7.7
Kheri,8.0
Kushi Nagar,7.6
Lalitpur,8.0
Lucknow,7.6
Maharajganj,8.0
Mahoba,8.2
Mainpuri,7.7
Mathura,7.7
Mau,8.2
Meerut,8.1
Mirzapur,7.5
Moradabad,7.5
Muzaffarnagar,8.1
Pilibhit,8.1
Pratapgarh,7.6
Rae Bareli,7.7
Rampur,7.5
Saharanpur,8.0
Sambhal,7.7
Sant Kabeer Nagar,7.4
Sant Ravidas Nagar,8.2
Shahjahanpur,7.9
Shamli,7.6
Shravasti,7.6
Siddharth Nagar,7.9
Sitapur,7.7
Sonbhadra,7.4
Sultanpur,7.9
Unnao,8.2
Varanasi,8.0
